"long","lat","order","hole","piece","id","group"
1362290.0438688,-2282591.28613283,908478,FALSE,"1","72","72.1"
1362209.69690644,-2282497.25566214,908479,FALSE,"1","72","72.1"
1362154.44347959,-2282451.14482577,908480,FALSE,"1","72","72.1"
1362140.29505216,-2282436.07893963,908481,FALSE,"1","72","72.1"
1362048.38782476,-2282337.9520366,908482,FALSE,"1","72","72.1"
1361995.03000923,-2282292.75042895,908483,FALSE,"1","72","72.1"
1361846.07131715,-2282149.20625573,908484,FALSE,"1","72","72.1"
1361683.43475372,-2281977.03221683,908485,FALSE,"1","72","72.1"
1361539.11059435,-2281827.70162748,908486,FALSE,"1","72","72.1"
1361314.26106346,-2281553.41797007,908487,FALSE,"1","72","72.1"
1361174.93197891,-2281360.72031072,908488,FALSE,"1","72","72.1"
1361097.25889487,-2281256.84681639,908489,FALSE,"1","72","72.1"
1360939.11464648,-2281050.18084899,908490,FALSE,"1","72","72.1"
1360829.60417985,-2280910.73383953,908491,FALSE,"1","72","72.1"
1360712.99093132,-2280735.06644171,908492,FALSE,"1","72","72.1"
1360626.85451511,-2280575.77874561,908493,FALSE,"1","72","72.1"
1360505.98238421,-2280382.03845626,908494,FALSE,"1","72","72.1"
1360375.76217082,-2280168.90792293,908495,FALSE,"1","72","72.1"
1360305.48589397,-2280052.66185773,908496,FALSE,"1","72","72.1"
1360193.51211791,-2279851.36869539,908497,FALSE,"1","72","72.1"
1360128.44844325,-2279746.01633789,908498,FALSE,"1","72","72.1"
1360101.80266749,-2279703.03539434,908499,FALSE,"1","72","72.1"
1360020.79917559,-2279557.25084874,908500,FALSE,"1","72","72.1"
1359991.29115029,-2279504.34369261,908501,FALSE,"1","72","72.1"
1359900.30466203,-2279312.77075532,908502,FALSE,"1","72","72.1"
1359895.54575834,-2279302.75670213,908503,FALSE,"1","72","72.1"
1359832.29426633,-2279135.90239427,908504,FALSE,"1","72","72.1"
1359806.4703077,-2279080.27864566,908505,FALSE,"1","72","72.1"
1359692.90747664,-2278848.60795702,908506,FALSE,"1","72","72.1"
1359621.45442507,-2278619.07674017,908507,FALSE,"1","72","72.1"
1359573.27678184,-2278411.17675407,908508,FALSE,"1","72","72.1"
1359530.45242777,-2278300.38781628,908509,FALSE,"1","72","72.1"
1359466.63401879,-2278103.70033065,908510,FALSE,"1","72","72.1"
1359382.11706017,-2277638.4763487,908511,FALSE,"1","72","72.1"
1359363.26771273,-2277362.41513609,908512,FALSE,"1","72","72.1"
1359344.24398501,-2277191.23935835,908513,FALSE,"1","72","72.1"
1359389.99514492,-2277173.54183238,908514,FALSE,"1","72","72.1"
1359823.02743851,-2277006.02136125,908515,FALSE,"1","72","72.1"
1359856.8904493,-2276992.92021194,908516,FALSE,"1","72","72.1"
1359942.88455367,-2276297.71465164,908517,FALSE,"1","72","72.1"
1360154.04096121,-2275346.73553132,908518,FALSE,"1","72","72.1"
1360388.16976276,-2274541.4214353,908519,FALSE,"1","72","72.1"
1360784.88907724,-2273666.06978472,908520,FALSE,"1","72","72.1"
1361144.99248,-2273002.42267745,908521,FALSE,"1","72","72.1"
1361382.37376886,-2272621.90185177,908522,FALSE,"1","72","72.1"
1361507.65590833,-2272420.86282237,908523,FALSE,"1","72","72.1"
1361669.99541659,-2272248.08524608,908524,FALSE,"1","72","72.1"
1361970.8580901,-2271666.33966043,908525,FALSE,"1","72","72.1"
1362319.73650861,-2271105.75863563,908526,FALSE,"1","72","72.1"
1362652.65867886,-2270543.33735945,908527,FALSE,"1","72","72.1"
1363207.0940201,-2269769.83015976,908528,FALSE,"1","72","72.1"
1363903.06073188,-2269021.32751595,908529,FALSE,"1","72","72.1"
1364692.33967013,-2268407.16228754,908530,FALSE,"1","72","72.1"
1365170.93244981,-2268066.23101345,908531,FALSE,"1","72","72.1"
1365279.19672978,-2267989.10846217,908532,FALSE,"1","72","72.1"
1365847.22845299,-2267514.75815411,908533,FALSE,"1","72","72.1"
1366638.32543914,-2266994.86151574,908534,FALSE,"1","72","72.1"
1366940.87114742,-2266815.14854447,908535,FALSE,"1","72","72.1"
1367217.44763523,-2266650.79049337,908536,FALSE,"1","72","72.1"
1367519.19188736,-2266394.42113407,908537,FALSE,"1","72","72.1"
1367922.79655184,-2266103.40433643,908538,FALSE,"1","72","72.1"
1368343.44539698,-2265853.07802885,908539,FALSE,"1","72","72.1"
1368365.01267055,-2265840.23571843,908540,FALSE,"1","72","72.1"
1368775.57486663,-2265556.79404831,908541,FALSE,"1","72","72.1"
1369042.88048641,-2265379.74180294,908542,FALSE,"1","72","72.1"
1369054.95345609,-2265371.76109517,908543,FALSE,"1","72","72.1"
1369347.67299246,-2265218.88821198,908544,FALSE,"1","72","72.1"
1369844.39586968,-2264987.06145033,908545,FALSE,"1","72","72.1"
1370240.01414929,-2264769.71503767,908546,FALSE,"1","72","72.1"
1370667.89857404,-2264578.68660716,908547,FALSE,"1","72","72.1"
1371041.78791411,-2264459.97177589,908548,FALSE,"1","72","72.1"
1371593.26847078,-2264263.23825104,908549,FALSE,"1","72","72.1"
1372137.96709083,-2264083.55381493,908550,FALSE,"1","72","72.1"
1372534.47468606,-2263937.87141365,908551,FALSE,"1","72","72.1"
1373127.35334661,-2263789.18988028,908552,FALSE,"1","72","72.1"
1373599.65731053,-2263635.34031986,908553,FALSE,"1","72","72.1"
1374288.28463805,-2263447.30630897,908554,FALSE,"1","72","72.1"
1374964.54117983,-2263217.25939754,908555,FALSE,"1","72","72.1"
1375935.48558377,-2262935.12159056,908556,FALSE,"1","72","72.1"
1377029.76399109,-2262630.65846552,908557,FALSE,"1","72","72.1"
1377252.02317808,-2262569.31433833,908558,FALSE,"1","72","72.1"
1377919.71679001,-2262385.00465651,908559,FALSE,"1","72","72.1"
1378529.26568314,-2262288.18532721,908560,FALSE,"1","72","72.1"
1379196.00505959,-2262186.88664119,908561,FALSE,"1","72","72.1"
1379681.11709139,-2262162.840287,908562,FALSE,"1","72","72.1"
1379782.27165876,-2262153.47787949,908563,FALSE,"1","72","72.1"
1379784.84320769,-2262163.05336666,908564,FALSE,"1","72","72.1"
1379846.27303379,-2262391.8010513,908565,FALSE,"1","72","72.1"
1379968.55048516,-2262386.42315135,908566,FALSE,"1","72","72.1"
1380293.54521042,-2262372.02479551,908567,FALSE,"1","72","72.1"
1380786.55564669,-2262405.61362445,908568,FALSE,"1","72","72.1"
1381531.74406355,-2262461.26123321,908569,FALSE,"1","72","72.1"
1381891.26668915,-2262518.3216468,908570,FALSE,"1","72","72.1"
1382029.95417312,-2262540.36716214,908571,FALSE,"1","72","72.1"
1382581.49630468,-2262515.29082481,908572,FALSE,"1","72","72.1"
1382587.99415122,-2262514.87035902,908573,FALSE,"1","72","72.1"
1383083.22394229,-2262583.21666152,908574,FALSE,"1","72","72.1"
1383311.78006556,-2262591.55485082,908575,FALSE,"1","72","72.1"
1383849.46082307,-2262454.9682863,908576,FALSE,"1","72","72.1"
1384094.95808691,-2262397.18814781,908577,FALSE,"1","72","72.1"
1384419.01308785,-2262320.94512552,908578,FALSE,"1","72","72.1"
1384835.900103,-2262238.75832569,908579,FALSE,"1","72","72.1"
1385109.23613089,-2262240.25765632,908580,FALSE,"1","72","72.1"
1385444.54276186,-2262064.47016104,908581,FALSE,"1","72","72.1"
1385650.71479555,-2261980.50643736,908582,FALSE,"1","72","72.1"
1385866.76962495,-2261892.32224224,908583,FALSE,"1","72","72.1"
1386485.32652912,-2261697.96992395,908584,FALSE,"1","72","72.1"
1387104.40428957,-2261587.07637223,908585,FALSE,"1","72","72.1"
1387639.5979605,-2261523.16244917,908586,FALSE,"1","72","72.1"
1387880.43426626,-2261498.83537216,908587,FALSE,"1","72","72.1"
1388257.12520694,-2261460.52882721,908588,FALSE,"1","72","72.1"
1388548.18426055,-2261442.64607562,908589,FALSE,"1","72","72.1"
1389077.92628702,-2261333.03894093,908590,FALSE,"1","72","72.1"
1389626.97875339,-2261263.23025453,908591,FALSE,"1","72","72.1"
1390003.79152521,-2260946.58630225,908592,FALSE,"1","72","72.1"
1390171.15399521,-2260822.06505875,908593,FALSE,"1","72","72.1"
1390078.02835077,-2260484.8022982,908594,FALSE,"1","72","72.1"
1390174.58852855,-2260408.7969236,908595,FALSE,"1","72","72.1"
1390691.62750348,-2260089.66321892,908596,FALSE,"1","72","72.1"
1391802.48884003,-2259427.78171342,908597,FALSE,"1","72","72.1"
1392722.14847665,-2258999.96484146,908598,FALSE,"1","72","72.1"
1392741.6964398,-2258991.13129414,908599,FALSE,"1","72","72.1"
1392917.57103481,-2258912.23727795,908600,FALSE,"1","72","72.1"
1393138.93112353,-2258812.81333101,908601,FALSE,"1","72","72.1"
1393650.12299897,-2258592.87651227,908602,FALSE,"1","72","72.1"
1393968.81451099,-2258493.98194516,908603,FALSE,"1","72","72.1"
1394419.05967221,-2258321.04582312,908604,FALSE,"1","72","72.1"
1394736.15208386,-2258187.22329467,908605,FALSE,"1","72","72.1"
1395037.0802202,-2258060.07650513,908606,FALSE,"1","72","72.1"
1395436.24198855,-2257957.21272706,908607,FALSE,"1","72","72.1"
1395783.27954721,-2257867.82931771,908608,FALSE,"1","72","72.1"
1396546.62863874,-2257739.95347872,908609,FALSE,"1","72","72.1"
1397034.19380327,-2257363.17869036,908610,FALSE,"1","72","72.1"
1397831.99824783,-2256894.73169442,908611,FALSE,"1","72","72.1"
1398399.46268551,-2256626.7183612,908612,FALSE,"1","72","72.1"
1398685.83384236,-2256491.48136768,908613,FALSE,"1","72","72.1"
1399118.88971769,-2256316.2891531,908614,FALSE,"1","72","72.1"
1399679.69049909,-2256089.37623242,908615,FALSE,"1","72","72.1"
1400594.48793294,-2255784.66775069,908616,FALSE,"1","72","72.1"
1401533.18068245,-2255525.99629449,908617,FALSE,"1","72","72.1"
1402393.55187303,-2255324.94517434,908618,FALSE,"1","72","72.1"
1403152.54166747,-2255166.72251222,908619,FALSE,"1","72","72.1"
1403774.38705495,-2255122.02535049,908620,FALSE,"1","72","72.1"
1403907.91415156,-2255112.46842601,908621,FALSE,"1","72","72.1"
1404736.95932598,-2255116.61047571,908622,FALSE,"1","72","72.1"
1405200.94352154,-2255150.74199973,908623,FALSE,"1","72","72.1"
1405456.26677182,-2255198.22154562,908624,FALSE,"1","72","72.1"
1405953.88305085,-2255309.35274028,908625,FALSE,"1","72","72.1"
1406430.66470808,-2255242.8307134,908626,FALSE,"1","72","72.1"
1407125.85688467,-2255253.0796552,908627,FALSE,"1","72","72.1"
